,year,name,href,type,boxoffice,mean_price,mean_people,times
46,2009,金刚狼,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=402709,动作,7695,30,25,2009-05-03
47,2009,非诚勿扰,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=557894,爱情,7423,34,33,2008-12-18
48,2009,麦兜响当当,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=579746,动画,7021,28,41,2017-03-17
49,2009,七龙珠,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=326513,动作,6500,29,23,2009-03-14
50,2010,阿凡达,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=303851,科幻/动作,133983,50,72,2010-01-04
51,2010,唐山大地震,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=566405,剧情,64988,37,51,2010-07-22
52,2010,让子弹飞,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573439,喜剧,47376,38,62,2010-12-16
53,2010,盗梦空间,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=566417,科幻/动作,46235,34,50,2010-09-01
54,2010,非诚勿扰2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588459,爱情,32850,39,62,2010-12-22
55,2010,狄仁杰之通天帝国,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572692,动作,28616,33,40,2010-09-29
56,2010,叶问2：宗师传奇,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572828,动作,22952,33,36,2010-04-27
57,2010,爱丽丝梦游仙境,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=299356,奇幻,22874,47,39,2010-03-26
58,2010,敢死队,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=555826,动作,21443,32,38,2010-08-20
59,2010,哈利·波特与死亡圣器(上),http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=339970,魔幻/动作,20987,32,38,2010-11-19
60,2010,赵氏孤儿,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573862,剧情,18004,33,34,2010-12-04
61,2010,赵氏孤儿,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=558985,,18004,33,34,
62,2010,钢铁侠2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=346817,科幻/动作,17508,33,33,2010-05-07
63,2010,诸神之战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=317408,魔幻/动作,17113,50,37,2010-04-16
64,2010,波斯王子：时之刃,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=372499,科幻/动作,15907,32,35,2010-05-28
65,2010,大兵小将,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572814,动作,15728,32,40,2010-02-14
66,2010,大笑江湖,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588499,喜剧,15093,32,32,2010-12-03
67,2010,山楂树之恋,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573967,爱情,14496,33,29,2010-09-15
68,2010,锦衣卫,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572852,动作,14030,33,39,2010-02-03
69,2010,精武风云·陈真,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573959,动作,13821,33,33,2010-09-21
70,2010,生化危机4：战神再生,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=417248,动作/科幻,13548,40,26,2010-11-16
71,2010,越光宝盒,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573086,喜剧,13059,32,31,2010-03-18
72,2010,全城热恋,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573873,爱情,12942,34,38,2010-02-11
73,2010,枪王之王,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573888,动作,12658,32,35,2010-07-02
74,2010,杜拉拉升职记,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=572815,爱情,12441,32,31,2010-04-15
75,2011,变形金刚3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589793,科幻,107150,42,54,2011-07-21
76,2011,功夫熊猫2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=350725,动画,61198,38,42,2011-05-28
77,2011,加勒比海盗4：惊涛怪浪,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=370427,魔幻/动作,46439,38,45,2011-05-20
78,2011,金陵十三钗,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573968,剧情,45013,41,47,2011-12-15
79,2011,建党伟业,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588446,战争,40719,35,37,2011-06-15
80,2011,哈利·波特与死亡圣器(下),http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=339971,魔幻/动作,40245,39,40,2011-08-04
